MONTH,DAY_OF_WEEK,FL_DATE,MKT_UNIQUE_CARRIER,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,DUP,DISTANCE,WEATHER_DELAY,NAS_DELAY,LATE_AIRCRAFT_DELAY,DIV_AIRPORT_LANDINGS,CRS_ELAPSED_TIME
1,1,1/3/22 0:00,AA,MQ,4134,ORD,SYR,1025,1316,1257.0,-19.0,0,0,N,607,,,,0,
1,1,1/3/22 0:00,AA,MQ,4253,ORD,SYR,1725,2012,2024.0,12.0,0,0,N,607,,,,0,
1,1,1/3/22 0:00,AA,MQ,4316,ORD,SYR,1528,1815,1813.0,-2.0,0,0,N,607,,,,0,
1,1,1/3/22 0:00,B6,B6,116,JFK,SYR,829,950,,,1,0,N,209,,,,0,
1,1,1/3/22 0:00,B6,B6,2516,JFK,SYR,2145,2259,2338.0,39.0,0,0,N,209,0.0,0.0,0.0,0,
1,1,1/3/22 0:00,B6,B6,656,MCO,SYR,1313,1556,1546.0,-10.0,0,0,N,1053,,,,0,
1,1,1/3/22 0:00,DL,9E,5531,JFK,SYR,1255,1412,1424.0,12.0,0,0,N,209,,,,0,
1,1,1/3/22 0:00,UA,G7,4576,ORD,SYR,1445,1736,1722.0,-14.0,0,0,N,607,,,,0,
1,1,1/3/22 0:00,UA,OO,5392,ORD,SYR,1040,1332,1445.0,73.0,0,0,N,607,0.0,0.0,0.0,0,
1,1,1/3/22 0:00,UA,OO,5412,ORD,SYR,1755,2052,2047.0,-5.0,0,0,N,607,,,,0,
1,1,1/10/22 0:00,AA,OO,3253,ORD,SYR,1240,1531,1518.0,-13.0,0,0,N,607,,,,0,
1,1,1/10/22 0:00,AA,PT,6235,ORD,SYR,1730,2018,2135.0,77.0,0,0,N,607,0.0,40.0,37.0,0,
1,1,1/10/22 0:00,B6,B6,116,JFK,SYR,925,1043,1049.0,6.0,0,0,N,209,,,,0,
1,1,1/10/22 0:00,B6,B6,2516,JFK,SYR,2159,2314,26.0,72.0,0,0,N,209,0.0,55.0,0.0,0,
1,1,1/10/22 0:00,B6,B6,656,MCO,SYR,1617,1900,2000.0,60.0,0,0,N,1053,0.0,0.0,0.0,0,
1,1,1/10/22 0:00,DL,9E,5446,JFK,SYR,1230,1345,1340.0,-5.0,0,0,N,209,,,,0,
1,1,1/10/22 0:00,UA,G7,4576,ORD,SYR,1430,1721,1700.0,-21.0,0,0,N,607,,,,0,
1,1,1/10/22 0:00,UA,OO,5392,ORD,SYR,1045,1337,1354.0,17.0,0,0,N,607,0.0,0.0,0.0,0,
1,1,1/10/22 0:00,UA,OO,5412,ORD,SYR,1755,2052,1419.0,,0,1,N,607,,,,1,
1,1,1/17/22 0:00,AA,OO,3253,ORD,SYR,1240,1531,1744.0,133.0,0,0,N,607,0.0,0.0,133.0,0,
1,1,1/17/22 0:00,AA,PT,6235,ORD,SYR,1730,2018,2330.0,192.0,0,0,N,607,30.0,25.0,137.0,0,
1,1,1/17/22 0:00,B6,B6,116,JFK,SYR,925,1043,,,1,0,N,209,,,,0,
1,1,1/17/22 0:00,B6,B6,2516,JFK,SYR,2159,2314,106.0,112.0,0,0,N,209,0.0,0.0,0.0,0,
1,1,1/17/22 0:00,B6,B6,656,MCO,SYR,1617,1900,2021.0,81.0,0,0,N,1053,0.0,11.0,0.0,0,
1,1,1/17/22 0:00,DL,9E,5446,JFK,SYR,1230,1345,1346.0,1.0,0,0,N,209,,,,0,
1,1,1/17/22 0:00,UA,G7,4576,ORD,SYR,1430,1721,1724.0,3.0,0,0,N,607,,,,0,
1,1,1/17/22 0:00,UA,OO,5392,ORD,SYR,1045,1337,1349.0,12.0,0,0,N,607,,,,0,
1,1,1/17/22 0:00,UA,OO,5412,ORD,SYR,1755,2052,2047.0,-5.0,0,0,N,607,,,,0,
1,1,1/24/22 0:00,AA,OO,3253,ORD,SYR,1240,1531,1709.0,98.0,0,0,N,607,0.0,0.0,98.0,0,
1,1,1/24/22 0:00,AA,PT,6235,ORD,SYR,1730,2018,2108.0,50.0,0,0,N,607,0.0,50.0,0.0,0,
1,1,1/24/22 0:00,B6,B6,116,JFK,SYR,925,1043,1102.0,19.0,0,0,N,209,0.0,19.0,0.0,0,
1,1,1/24/22 0:00,B6,B6,2516,JFK,SYR,2159,2314,2318.0,4.0,0,0,N,209,,,,0,
1,1,1/24/22 0:00,B6,B6,656,MCO,SYR,1617,1900,1851.0,-9.0,0,0,N,1053,,,,0,
1,1,1/24/22 0:00,DL,9E,5446,JFK,SYR,1230,1345,1332.0,-13.0,0,0,N,209,,,,0,
1,1,1/24/22 0:00,UA,G7,4576,ORD,SYR,1430,1721,1802.0,41.0,0,0,N,607,0.0,5.0,32.0,0,
1,1,1/24/22 0:00,UA,OO,5392,ORD,SYR,1045,1337,1422.0,45.0,0,0,N,607,0.0,0.0,0.0,0,
1,1,1/24/22 0:00,UA,OO,5412,ORD,SYR,1755,2052,2041.0,-11.0,0,0,N,607,,,,0,
1,1,1/31/22 0:00,AA,OO,3253,ORD,SYR,1240,1531,1518.0,-13.0,0,0,N,607,,,,0,
1,1,1/31/22 0:00,AA,PT,6235,ORD,SYR,1730,2018,2003.0,-15.0,0,0,N,607,,,,0,
1,1,1/31/22 0:00,B6,B6,116,JFK,SYR,925,1043,1050.0,7.0,0,0,N,209,,,,0,
1,1,1/31/22 0:00,B6,B6,2516,JFK,SYR,2159,2314,2353.0,39.0,0,0,N,209,0.0,0.0,18.0,0,
1,1,1/31/22 0:00,B6,B6,656,MCO,SYR,1617,1900,1944.0,44.0,0,0,N,1053,0.0,0.0,0.0,0,
1,1,1/31/22 0:00,DL,9E,5446,JFK,SYR,1230,1345,1331.0,-14.0,0,0,N,209,,,,0,
1,1,1/31/22 0:00,UA,G7,4576,ORD,SYR,1430,1721,1730.0,9.0,0,0,N,607,,,,0,
1,1,1/31/22 0:00,UA,OO,5392,ORD,SYR,1045,1337,1330.0,-7.0,0,0,N,607,,,,0,
1,1,1/31/22 0:00,UA,OO,5412,ORD,SYR,1755,2052,2052.0,0.0,0,0,N,607,,,,0,
1,2,1/4/22 0:00,AA,OO,3253,ORD,SYR,1240,1531,,,1,0,N,607,,,,0,
1,2,1/4/22 0:00,AA,PT,6235,ORD,SYR,1730,2018,2033.0,15.0,0,0,N,607,0.0,4.0,4.0,0,
1,2,1/4/22 0:00,B6,B6,116,JFK,SYR,829,950,942.0,-8.0,0,0,N,209,,,,0,
1,2,1/4/22 0:00,B6,B6,2516,JFK,SYR,2145,2259,2231.0,-28.0,0,0,N,209,,,,0,
1,2,1/4/22 0:00,B6,B6,656,MCO,SYR,1313,1556,1609.0,13.0,0,0,N,1053,,,,0,
1,2,1/4/22 0:00,DL,9E,5531,JFK,SYR,1255,1412,1352.0,-20.0,0,0,N,209,,,,0,
1,2,1/4/22 0:00,UA,G7,4576,ORD,SYR,1430,1721,1742.0,21.0,0,0,N,607,0.0,0.0,14.0,0,
1,2,1/4/22 0:00,UA,OO,5392,ORD,SYR,1045,1337,1336.0,-1.0,0,0,N,607,,,,0,
1,2,1/4/22 0:00,UA,OO,5412,ORD,SYR,1755,2052,2135.0,43.0,0,0,N,607,0.0,0.0,0.0,0,
1,2,1/11/22 0:00,AA,OO,3253,ORD,SYR,1240,1531,1516.0,-15.0,0,0,N,607,,,,0,
1,2,1/11/22 0:00,AA,PT,6235,ORD,SYR,1730,2018,1958.0,-20.0,0,0,N,607,,,,0,
1,2,1/11/22 0:00,B6,B6,116,JFK,SYR,925,1043,1137.0,54.0,0,0,N,209,0.0,0.0,9.0,0,
1,2,1/11/22 0:00,B6,B6,2516,JFK,SYR,2159,2314,2337.0,23.0,0,0,N,209,0.0,0.0,0.0,0,
1,2,1/11/22 0:00,B6,B6,656,MCO,SYR,1617,1900,1846.0,-14.0,0,0,N,1053,,,,0,
1,2,1/11/22 0:00,DL,9E,5446,JFK,SYR,1230,1345,1331.0,-14.0,0,0,N,209,,,,0,
1,2,1/11/22 0:00,UA,G7,4576,ORD,SYR,1430,1721,1712.0,-9.0,0,0,N,607,,,,0,
1,2,1/11/22 0:00,UA,OO,5392,ORD,SYR,1045,1337,1329.0,-8.0,0,0,N,607,,,,0,
1,2,1/11/22 0:00,UA,OO,5412,ORD,SYR,1755,2052,2149.0,57.0,0,0,N,607,0.0,0.0,0.0,0,
1,2,1/18/22 0:00,AA,OO,3253,ORD,SYR,1240,1531,1513.0,-18.0,0,0,N,607,,,,0,
1,2,1/18/22 0:00,AA,PT,6235,ORD,SYR,1730,2018,2011.0,-7.0,0,0,N,607,,,,0,
1,2,1/18/22 0:00,B6,B6,116,JFK,SYR,925,1043,1042.0,-1.0,0,0,N,209,,,,0,
1,2,1/18/22 0:00,B6,B6,2516,JFK,SYR,2159,2314,2256.0,-18.0,0,0,N,209,,,,0,
1,2,1/18/22 0:00,B6,B6,656,MCO,SYR,1617,1900,1919.0,19.0,0,0,N,1053,0.0,0.0,0.0,0,
1,2,1/18/22 0:00,DL,9E,5446,JFK,SYR,1230,1345,1347.0,2.0,0,0,N,209,,,,0,
1,2,1/18/22 0:00,UA,G7,4576,ORD,SYR,1430,1721,1705.0,-16.0,0,0,N,607,,,,0,
1,2,1/18/22 0:00,UA,OO,5392,ORD,SYR,1045,1337,1330.0,-7.0,0,0,N,607,,,,0,
1,2,1/18/22 0:00,UA,OO,5412,ORD,SYR,1755,2052,2039.0,-13.0,0,0,N,607,,,,0,
1,2,1/25/22 0:00,AA,OO,3253,ORD,SYR,1240,1531,1524.0,-7.0,0,0,N,607,,,,0,
1,2,1/25/22 0:00,AA,PT,6235,ORD,SYR,1730,2018,2008.0,-10.0,0,0,N,607,,,,0,
1,2,1/25/22 0:00,B6,B6,116,JFK,SYR,925,1043,1053.0,10.0,0,0,N,209,,,,0,
1,2,1/25/22 0:00,B6,B6,2516,JFK,SYR,2159,2314,2259.0,-15.0,0,0,N,209,,,,0,
1,2,1/25/22 0:00,B6,B6,656,MCO,SYR,1617,1900,1837.0,-23.0,0,0,N,1053,,,,0,
1,2,1/25/22 0:00,DL,9E,5446,JFK,SYR,1230,1345,1337.0,-8.0,0,0,N,209,,,,0,
1,2,1/25/22 0:00,UA,G7,4576,ORD,SYR,1430,1721,1658.0,-23.0,0,0,N,607,,,,0,
1,2,1/25/22 0:00,UA,OO,5392,ORD,SYR,1045,1337,1330.0,-7.0,0,0,N,607,,,,0,
1,2,1/25/22 0:00,UA,OO,5412,ORD,SYR,1755,2052,2055.0,3.0,0,0,N,607,,,,0,
1,3,1/5/22 0:00,AA,OO,3253,ORD,SYR,1240,1531,,,1,0,N,607,,,,0,
1,3,1/5/22 0:00,AA,PT,6235,ORD,SYR,1730,2018,1959.0,-19.0,0,0,N,607,,,,0,
1,3,1/5/22 0:00,B6,B6,116,JFK,SYR,925,1043,1022.0,-21.0,0,0,N,209,,,,0,
1,3,1/5/22 0:00,B6,B6,2516,JFK,SYR,2159,2314,2251.0,-23.0,0,0,N,209,,,,0,
1,3,1/5/22 0:00,B6,B6,656,MCO,SYR,1617,1900,1843.0,-17.0,0,0,N,1053,,,,0,
1,3,1/5/22 0:00,DL,9E,5446,JFK,SYR,1230,1345,1329.0,-16.0,0,0,N,209,,,,0,
1,3,1/5/22 0:00,UA,G7,4576,ORD,SYR,1430,1721,1656.0,-25.0,0,0,N,607,,,,0,
1,3,1/5/22 0:00,UA,OO,5392,ORD,SYR,1045,1337,1400.0,23.0,0,0,N,607,0.0,0.0,0.0,0,
1,3,1/5/22 0:00,UA,OO,5412,ORD,SYR,1755,2052,,,1,0,N,607,,,,0,
1,3,1/12/22 0:00,AA,PT,6235,ORD,SYR,1730,2018,2021.0,3.0,0,0,N,607,,,,0,
1,3,1/12/22 0:00,B6,B6,116,JFK,SYR,925,1043,1050.0,7.0,0,0,N,209,,,,0,
1,3,1/12/22 0:00,B6,B6,2516,JFK,SYR,2159,2314,2256.0,-18.0,0,0,N,209,,,,0,
1,3,1/12/22 0:00,B6,B6,656,MCO,SYR,1617,1900,1853.0,-7.0,0,0,N,1053,,,,0,
1,3,1/12/22 0:00,DL,9E,5446,JFK,SYR,1230,1345,1335.0,-10.0,0,0,N,209,,,,0,
1,3,1/12/22 0:00,UA,G7,4576,ORD,SYR,1430,1721,1655.0,-26.0,0,0,N,607,,,,0,
1,3,1/12/22 0:00,UA,OO,5392,ORD,SYR,1045,1337,1333.0,-4.0,0,0,N,607,,,,0,
1,3,1/12/22 0:00,UA,OO,5412,ORD,SYR,1755,2052,2054.0,2.0,0,0,N,607,,,,0,
1,3,1/19/22 0:00,AA,PT,6235,ORD,SYR,1730,2018,2009.0,-9.0,0,0,N,607,,,,0,
1,3,1/19/22 0:00,B6,B6,116,JFK,SYR,925,1043,1046.0,3.0,0,0,N,209,,,,0,
1,3,1/19/22 0:00,B6,B6,2516,JFK,SYR,2159,2314,2350.0,36.0,0,0,N,209,0.0,0.0,0.0,0,
1,3,1/19/22 0:00,B6,B6,656,MCO,SYR,1617,1900,1838.0,-22.0,0,0,N,1053,,,,0,
1,3,1/19/22 0:00,DL,9E,5446,JFK,SYR,1230,1345,1340.0,-5.0,0,0,N,209,,,,0,
1,3,1/19/22 0:00,UA,G7,4576,ORD,SYR,1430,1721,1655.0,-26.0,0,0,N,607,,,,0,
1,3,1/19/22 0:00,UA,OO,5392,ORD,SYR,1045,1337,1323.0,-14.0,0,0,N,607,,,,0,
1,3,1/19/22 0:00,UA,OO,5412,ORD,SYR,1755,2052,2050.0,-2.0,0,0,N,607,,,,0,
1,3,1/26/22 0:00,AA,PT,6235,ORD,SYR,1730,2018,2024.0,6.0,0,0,N,607,,,,0,
1,3,1/26/22 0:00,B6,B6,116,JFK,SYR,925,1043,1024.0,-19.0,0,0,N,209,,,,0,
1,3,1/26/22 0:00,B6,B6,2516,JFK,SYR,2159,2314,2308.0,-6.0,0,0,N,209,,,,0,
1,3,1/26/22 0:00,B6,B6,656,MCO,SYR,1617,1900,1849.0,-11.0,0,0,N,1053,,,,0,
1,3,1/26/22 0:00,DL,9E,5446,JFK,SYR,1230,1345,1334.0,-11.0,0,0,N,209,,,,0,
1,3,1/26/22 0:00,UA,G7,4576,ORD,SYR,1430,1721,1700.0,-21.0,0,0,N,607,,,,0,
1,3,1/26/22 0:00,UA,OO,5392,ORD,SYR,1045,1337,1331.0,-6.0,0,0,N,607,,,,0,
1,3,1/26/22 0:00,UA,OO,5412,ORD,SYR,1755,2052,2036.0,-16.0,0,0,N,607,,,,0,
1,4,1/6/22 0:00,AA,OO,3253,ORD,SYR,1240,1531,1737.0,126.0,0,0,N,607,0.0,0.0,0.0,0,
1,4,1/6/22 0:00,AA,MQ,4134,ORD,SYR,805,1056,1122.0,26.0,0,0,N,607,0.0,0.0,0.0,0,
1,4,1/6/22 0:00,AA,PT,6235,ORD,SYR,1730,2018,2229.0,131.0,0,0,N,607,0.0,8.0,0.0,0,
1,4,1/6/22 0:00,B6,B6,116,JFK,SYR,925,1043,1040.0,-3.0,0,0,N,209,,,,0,
1,4,1/6/22 0:00,B6,B6,2516,JFK,SYR,2159,2314,14.0,60.0,0,0,N,209,0.0,0.0,0.0,0,
1,4,1/6/22 0:00,B6,B6,656,MCO,SYR,1617,1900,1901.0,1.0,0,0,N,1053,,,,0,
1,4,1/6/22 0:00,DL,9E,5446,JFK,SYR,1230,1345,1328.0,-17.0,0,0,N,209,,,,0,
1,4,1/6/22 0:00,UA,G7,4576,ORD,SYR,1430,1721,1712.0,-9.0,0,0,N,607,,,,0,
1,4,1/6/22 0:00,UA,OO,5392,ORD,SYR,1045,1337,1349.0,12.0,0,0,N,607,,,,0,
1,4,1/6/22 0:00,UA,OO,5412,ORD,SYR,1755,2052,2038.0,-14.0,0,0,N,607,,,,0,
