MONTH,DAY_OF_WEEK,FL_DATE,MKT_UNIQUE_CARRIER,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,DUP,DISTANCE,WEATHER_DELAY,NAS_DELAY,LATE_AIRCRAFT_DELAY,DIV_AIRPORT_LANDINGS
1,1,1/3/22 0:00,AA,MQ,4134,ORD,SYR,1025,1316,1257,-19,0,0,N,607,,,,0
1,1,1/3/22 0:00,AA,MQ,4253,ORD,SYR,1725,2012,2024,12,0,0,N,607,,,,0
1,1,1/3/22 0:00,AA,MQ,4316,ORD,SYR,1528,1815,1813,-2,0,0,N,607,,,,0
1,1,1/3/22 0:00,B6,B6,116,JFK,SYR,829,950,,,1,0,N,209,,,,0
1,1,1/3/22 0:00,B6,B6,2516,JFK,SYR,2145,2259,2338,39,0,0,N,209,0,0,0,0
1,1,1/3/22 0:00,B6,B6,656,MCO,SYR,1313,1556,1546,-10,0,0,N,1053,,,,0
1,1,1/3/22 0:00,DL,9E,5531,JFK,SYR,1255,1412,1424,12,0,0,N,209,,,,0
1,1,1/3/22 0:00,UA,G7,4576,ORD,SYR,1445,1736,1722,-14,0,0,N,607,,,,0
1,1,1/3/22 0:00,UA,OO,5392,ORD,SYR,1040,1332,1445,73,0,0,N,607,0,0,0,0
1,1,1/3/22 0:00,UA,OO,5412,ORD,SYR,1755,2052,2047,-5,0,0,N,607,,,,0
1,1,1/10/22 0:00,AA,OO,3253,ORD,SYR,1240,1531,1518,-13,0,0,N,607,,,,0
1,1,1/10/22 0:00,AA,PT,6235,ORD,SYR,1730,2018,2135,77,0,0,N,607,0,40,37,0
1,1,1/10/22 0:00,B6,B6,116,JFK,SYR,925,1043,1049,6,0,0,N,209,,,,0
1,1,1/10/22 0:00,B6,B6,2516,JFK,SYR,2159,2314,26,72,0,0,N,209,0,55,0,0
1,1,1/10/22 0:00,B6,B6,656,MCO,SYR,1617,1900,2000,60,0,0,N,1053,0,0,0,0
1,1,1/10/22 0:00,DL,9E,5446,JFK,SYR,1230,1345,1340,-5,0,0,N,209,,,,0
1,1,1/10/22 0:00,UA,G7,4576,ORD,SYR,1430,1721,1700,-21,0,0,N,607,,,,0
1,1,1/10/22 0:00,UA,OO,5392,ORD,SYR,1045,1337,1354,17,0,0,N,607,0,0,0,0
1,1,1/10/22 0:00,UA,OO,5412,ORD,SYR,1755,2052,1419,,0,1,N,607,,,,1
