MONTH,DAY_OF_WEEK,FL_DATE,MKT_UNIQUE_CARRIER,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,DUP,CRS_ELAPSED_TIME,DISTANCE,WEATHER_DELAY,NAS_DELAY,LATE_AIRCRAFT_DELAY,DIV_AIRPORT_LANDINGS
8,1,8/7/23 0:00,AA,MQ,3402,ORD,SYR,1910,2158,2240,42,0,0,N,108,607,0,0,39,0
8,1,8/7/23 0:00,AA,MQ,3854,ORD,SYR,815,1110,1045,-25,0,0,N,115,607,,,,0
8,1,8/7/23 0:00,AA,MQ,3949,ORD,SYR,1315,1605,1640,35,0,0,N,110,607,0,0,0,0
8,1,8/7/23 0:00,B6,B6,2516,JFK,SYR,2140,2303,212,189,0,0,N,83,209,0,0,119,0
8,1,8/7/23 0:00,B6,B6,656,MCO,SYR,1646,1932,2316,224,0,0,N,166,1053,0,130,94,0
8,1,8/7/23 0:00,DL,9E,5118,JFK,SYR,1429,1603,1540,-23,0,0,N,94,209,,,,0
8,1,8/7/23 0:00,DL,9E,5464,JFK,SYR,2250,25,,,1,0,N,95,209,,,,0
8,1,8/7/23 0:00,UA,OO,5574,ORD,SYR,711,1004,1013,9,0,0,N,113,607,,,,0
8,1,8/7/23 0:00,UA,UA,210,ORD,SYR,1820,2114,2109,-5,0,0,N,114,607,,,,0
8,1,8/7/23 0:00,UA,UA,2637,ORD,SYR,1400,1651,1643,-8,0,0,N,111,607,,,,0
8,1,8/14/23 0:00,AA,MQ,3402,ORD,SYR,1910,2158,2335,97,0,0,N,108,607,84,13,0,0
8,1,8/14/23 0:00,AA,MQ,3854,ORD,SYR,815,1110,1054,-16,0,0,N,115,607,,,,0
8,1,8/14/23 0:00,AA,MQ,3949,ORD,SYR,1315,1605,1628,23,0,0,N,110,607,0,23,0,0
8,1,8/14/23 0:00,B6,B6,2516,JFK,SYR,2140,2303,134,151,0,0,N,83,209,0,0,141,0
8,1,8/14/23 0:00,B6,B6,656,MCO,SYR,1646,1932,1943,11,0,0,N,166,1053,,,,0
8,1,8/14/23 0:00,DL,9E,5118,JFK,SYR,1429,1603,1556,-7,0,0,N,94,209,,,,0
8,1,8/14/23 0:00,DL,9E,5464,JFK,SYR,2250,25,9,-16,0,0,N,95,209,,,,0
