DAY_OF_WEEK,MKT_UNIQUE_CARRIER,OP_UNIQUE_CARRIER,ORIGIN,ARR_DELAY,SCH_DEP_TIME,SCH_ARR_TIME,ORGIN_WTH_temp,ORGIN_WTH_precip,ORGIN_WTH_precipprob,ORGIN_WTH_snow,ORGIN_WTH_windspeed,ORGIN_WTH_winddir,ORGIN_WTH_cloudcover,ORGIN_WTH_visibility,ORGIN_WTH_severerisk,DEST_WTH_temp,DEST_WTH_precip,DEST_WTH_precipprob,DEST_WTH_snow,DEST_WTH_windspeed,DEST_WTH_winddir,DEST_WTH_cloudcover,DEST_WTH_visibility,DEST_WTH_severerisk
1,AA,MQ,ORD,-19.0,2022-01-03 10:25:00,2022-01-03 13:16:00,14.1,0.0,0,0.0,7.8,226.0,0.0,9.9,3.0,17.8,0.0,0,0.0,6.9,309.0,84.3,9.9,3.0
1,AA,MQ,ORD,12.0,2022-01-03 17:25:00,2022-01-03 20:12:00,20.1,0.0,0,0.0,9.6,205.0,24.2,9.9,3.0,12.7,0.0,0,0.0,5.8,335.0,29.6,9.9,3.0
1,AA,MQ,ORD,-2.0,2022-01-03 15:28:00,2022-01-03 18:15:00,22.7,0.0,0,0.0,12.5,218.0,24.2,9.9,3.0,15.0,0.0,0,0.0,5.7,292.0,47.3,9.9,3.0
1,UA,G7,ORD,-14.0,2022-01-03 14:45:00,2022-01-03 17:36:00,22.7,0.0,0,0.0,12.5,218.0,24.2,9.9,3.0,15.0,0.0,0,0.0,5.7,292.0,47.3,9.9,3.0
1,B6,B6,JFK,39.0,2022-01-03 21:45:00,2022-01-03 22:59:00,24.7,0.0,0,0.0,9.6,345.0,7.2,9.9,3.0,11.7,0.0,0,0.0,0.0,0.0,94.7,8.8,3.0
1,B6,B6,MCO,-10.0,2022-01-03 13:13:00,2022-01-03 15:56:00,65.8,0.0,0,0.0,8.6,299.0,2.9,9.9,3.0,19.0,0.0,0,0.0,12.7,310.0,27.2,9.9,3.0
1,DL,9E,JFK,12.0,2022-01-03 12:55:00,2022-01-03 14:12:00,29.3,0.0,0,0.0,11.2,20.0,100.0,9.9,3.0,19.1,0.0,0,0.0,5.0,320.0,47.3,9.9,3.0
1,UA,OO,ORD,73.0,2022-01-03 10:40:00,2022-01-03 13:32:00,17.8,0.0,0,0.0,8.7,225.0,0.0,9.9,3.0,19.1,0.0,0,0.0,5.0,320.0,47.3,9.9,3.0
1,UA,OO,ORD,-5.0,2022-01-03 17:55:00,2022-01-03 20:52:00,20.0,0.0,0,0.0,7.8,202.0,24.2,9.9,3.0,11.8,0.0,0,0.0,0.0,0.0,29.6,9.9,3.0
1,AA,OO,ORD,-13.0,2022-01-10 12:40:00,2022-01-10 15:31:00,18.0,0.0,0,0.0,13.6,304.0,0.0,9.9,10.0,20.9,0.0,0,0.04,19.7,240.0,28.7,9.6,10.0
1,AA,PT,ORD,77.0,2022-01-10 17:30:00,2022-01-10 20:18:00,10.9,0.0,0,0.0,10.5,300.0,18.0,9.9,10.0,19.0,0.0,0,0.04,24.5,261.0,100.0,9.4,10.0
1,B6,B6,JFK,6.0,2022-01-10 09:25:00,2022-01-10 10:43:00,28.6,0.0,0,0.0,12.1,303.0,13.4,9.9,10.0,21.7,0.0,0,0.04,24.8,260.0,52.7,9.8,3.0
1,B6,B6,JFK,72.0,2022-01-10 21:59:00,2022-01-10 23:14:00,26.6,0.0,0,0.0,10.2,273.0,7.2,9.9,10.0,15.0,0.011,100,0.04,10.6,310.0,100.0,3.2,10.0
1,B6,B6,MCO,60.0,2022-01-10 16:17:00,2022-01-10 19:00:00,72.3,0.0,0,0.0,12.2,59.0,96.6,9.9,30.0,19.1,0.0,0,0.04,19.5,251.0,51.7,9.8,10.0
1,DL,9E,JFK,-5.0,2022-01-10 12:30:00,2022-01-10 13:45:00,29.3,0.0,0,0.0,11.6,278.0,33.2,9.9,10.0,21.8,0.0,0,0.04,25.9,241.0,89.2,9.9,10.0
1,UA,OO,ORD,17.0,2022-01-10 10:45:00,2022-01-10 13:37:00,18.0,0.0,0,0.0,13.0,311.0,18.0,9.9,3.0,21.8,0.0,0,0.04,25.9,241.0,89.2,9.9,10.0
1,UA,G7,ORD,-21.0,2022-01-10 14:30:00,2022-01-10 17:21:00,17.3,0.0,0,0.0,15.0,329.0,0.0,9.9,10.0,19.9,0.0,0,0.04,17.1,240.0,28.1,9.9,10.0
1,AA,OO,ORD,133.0,2022-01-17 12:40:00,2022-01-17 15:31:00,29.4,0.0,0,0.0,16.8,293.0,100.0,9.9,10.0,28.0,0.006,100,0.07,12.7,271.0,100.0,1.3,10.0
1,AA,PT,ORD,192.0,2022-01-17 17:30:00,2022-01-17 20:18:00,28.8,0.0,0,0.0,8.5,292.0,97.5,9.9,10.0,26.9,0.015,100,0.07,12.8,281.0,100.0,2.4,10.0
1,UA,OO,ORD,-5.0,2022-01-17 17:55:00,2022-01-17 20:52:00,28.8,0.0,0,0.0,8.5,292.0,97.5,9.9,10.0,26.8,0.014,100,0.07,18.3,300.0,100.0,1.3,10.0
1,B6,B6,JFK,112.0,2022-01-17 21:59:00,2022-01-17 23:14:00,35.6,0.0,0,0.0,15.1,287.0,97.0,9.9,10.0,25.0,0.011,100,0.07,17.4,281.0,100.0,5.0,10.0
1,B6,B6,MCO,81.0,2022-01-17 16:17:00,2022-01-17 19:00:00,62.0,0.0,0,0.0,17.3,262.0,2.9,9.9,10.0,26.9,0.015,100,0.07,13.9,281.0,100.0,1.8,10.0
1,DL,9E,JFK,1.0,2022-01-17 12:30:00,2022-01-17 13:45:00,38.3,0.0,0,0.0,11.8,217.0,100.0,9.9,10.0,26.9,0.019,100,0.07,13.6,263.0,100.0,1.8,10.0
1,UA,OO,ORD,12.0,2022-01-17 10:45:00,2022-01-17 13:37:00,28.5,0.0,0,0.0,14.4,317.0,100.0,9.9,10.0,26.9,0.019,100,0.07,13.6,263.0,100.0,1.8,10.0
1,UA,G7,ORD,3.0,2022-01-17 14:30:00,2022-01-17 17:21:00,29.0,0.0,0,0.0,11.1,308.0,100.0,9.9,10.0,28.0,0.005,100,0.07,12.7,271.0,100.0,0.6,10.0
1,AA,OO,ORD,98.0,2022-01-24 12:40:00,2022-01-24 15:31:00,27.2,0.0,0,0.01,11.6,322.0,100.0,9.9,10.0,21.7,0.0,0,0.02,8.9,177.0,100.0,9.9,10.0
1,AA,PT,ORD,50.0,2022-01-24 17:30:00,2022-01-24 20:18:00,17.9,0.0,0,0.01,13.6,320.0,44.0,9.9,10.0,19.9,0.011,100,0.02,7.9,90.0,100.0,1.8,10.0
1,UA,OO,ORD,-11.0,2022-01-24 17:55:00,2022-01-24 20:52:00,17.9,0.0,0,0.01,13.6,320.0,44.0,9.9,10.0,20.0,0.011,100,0.02,6.9,81.0,100.0,1.9,10.0
1,B6,B6,JFK,19.0,2022-01-24 09:25:00,2022-01-24 10:43:00,27.3,0.0,0,0.0,7.0,340.0,100.0,7.7,10.0,16.9,0.0,0,0.02,5.7,223.0,85.4,9.9,10.0
1,B6,B6,JFK,4.0,2022-01-24 21:59:00,2022-01-24 23:14:00,35.3,0.0,0,0.0,6.2,200.0,100.0,9.6,10.0,20.0,0.011,100,0.02,6.7,69.0,100.0,7.8,10.0
1,B6,B6,MCO,-9.0,2022-01-24 16:17:00,2022-01-24 19:00:00,62.7,0.0,0,0.0,9.5,296.0,9.4,9.9,10.0,19.9,0.019,100,0.02,5.7,101.0,100.0,2.4,10.0
1,DL,9E,JFK,-13.0,2022-01-24 12:30:00,2022-01-24 13:45:00,30.6,0.0,0,0.0,5.5,70.0,88.8,9.9,10.0,20.8,0.0,0,0.02,6.9,159.0,94.6,9.9,10.0
1,UA,OO,ORD,45.0,2022-01-24 10:45:00,2022-01-24 13:37:00,27.2,0.0,0,0.01,9.1,279.0,100.0,4.8,10.0,20.8,0.0,0,0.02,6.9,159.0,94.6,9.9,10.0
1,UA,G7,ORD,41.0,2022-01-24 14:30:00,2022-01-24 17:21:00,26.8,0.0,0,0.01,9.7,316.0,100.0,9.9,10.0,21.7,0.0,0,0.02,8.8,147.0,100.0,9.6,10.0
1,AA,OO,ORD,-13.0,2022-01-31 12:40:00,2022-01-31 15:31:00,33.9,0.0,0,0.0,13.5,163.0,69.5,9.7,10.0,30.8,0.0,0,0.0,4.5,86.0,26.2,9.9,10.0
1,AA,PT,ORD,-15.0,2022-01-31 17:30:00,2022-01-31 20:18:00,31.7,0.0,0,0.0,13.9,142.0,88.1,8.6,10.0,18.8,0.0,0,0.0,3.2,88.0,0.0,9.9,10.0
1,UA,OO,ORD,0.0,2022-01-31 17:55:00,2022-01-31 20:52:00,31.7,0.0,0,0.0,13.9,142.0,88.1,8.6,10.0,20.6,0.0,0,0.0,3.2,146.0,0.0,9.9,10.0
1,B6,B6,JFK,7.0,2022-01-31 09:25:00,2022-01-31 10:43:00,24.8,0.0,0,0.0,5.8,53.0,23.8,9.9,10.0,25.8,0.0,0,0.0,0.3,352.0,26.2,9.9,10.0
1,B6,B6,JFK,39.0,2022-01-31 21:59:00,2022-01-31 23:14:00,27.0,0.0,0,0.0,6.9,65.0,7.2,9.9,10.0,16.9,0.0,0,0.0,5.6,118.0,0.0,9.9,10.0
1,B6,B6,MCO,44.0,2022-01-31 16:17:00,2022-01-31 19:00:00,69.0,0.0,0,0.0,4.9,235.0,2.9,9.9,10.0,21.6,0.0,0,0.0,0.0,0.0,0.0,9.9,10.0
1,DL,9E,JFK,-14.0,2022-01-31 12:30:00,2022-01-31 13:45:00,28.8,0.0,0,0.0,6.9,40.0,23.8,9.9,10.0,30.7,0.0,0,0.0,0.2,359.0,27.2,9.9,10.0
1,UA,OO,ORD,-7.0,2022-01-31 10:45:00,2022-01-31 13:37:00,33.5,0.0,0,0.0,10.1,180.0,89.0,7.1,10.0,30.7,0.0,0,0.0,0.2,359.0,27.2,9.9,10.0
1,UA,G7,ORD,9.0,2022-01-31 14:30:00,2022-01-31 17:21:00,34.6,0.0,0,0.0,15.0,164.0,44.0,9.7,10.0,29.8,0.0,0,0.0,5.6,72.0,26.2,9.9,10.0
2,B6,B6,MCO,13.0,2022-01-04 13:13:00,2022-01-04 15:56:00,73.2,0.0,0,0.0,10.7,78.0,88.4,9.9,3.0,34.0,0.0,0,0.0,5.9,161.0,47.7,9.9,3.0
2,AA,PT,ORD,15.0,2022-01-04 17:30:00,2022-01-04 20:18:00,34.0,0.0,0,0.0,14.6,177.0,88.1,9.9,3.0,33.7,0.0,0,0.0,7.8,150.0,26.2,9.9,3.0
2,UA,OO,ORD,43.0,2022-01-04 17:55:00,2022-01-04 20:52:00,34.0,0.0,0,0.0,14.6,177.0,88.1,9.9,3.0,29.0,0.0,0,0.0,6.8,91.0,47.3,9.9,3.0
2,B6,B6,JFK,-8.0,2022-01-04 08:29:00,2022-01-04 09:50:00,19.9,0.0,0,0.0,9.2,360.0,0.0,9.9,3.0,24.0,0.0,0,0.0,3.4,130.0,100.0,9.9,3.0
2,B6,B6,JFK,-28.0,2022-01-04 21:45:00,2022-01-04 22:59:00,32.3,0.0,0,0.0,6.1,210.0,23.8,9.9,3.0,28.2,0.0,0,0.0,3.6,31.0,47.3,9.9,3.0
2,DL,9E,JFK,-20.0,2022-01-04 12:55:00,2022-01-04 14:12:00,31.5,0.0,0,0.0,4.3,270.0,7.2,9.9,3.0,33.0,0.0,0,0.0,9.0,239.0,100.0,9.9,3.0
2,UA,OO,ORD,-1.0,2022-01-04 10:45:00,2022-01-04 13:37:00,31.3,0.0,0,0.0,16.0,182.0,80.9,9.9,3.0,33.0,0.0,0,0.0,9.0,239.0,100.0,9.9,3.0
2,UA,G7,ORD,21.0,2022-01-04 14:30:00,2022-01-04 17:21:00,34.5,0.0,0,0.0,13.9,180.0,85.6,9.9,3.0,31.9,0.0,0,0.0,4.7,110.0,47.3,9.9,3.0
2,AA,OO,ORD,-15.0,2022-01-11 12:40:00,2022-01-11 15:31:00,25.7,0.0,0,0.0,19.7,189.0,38.9,9.9,10.0,8.8,0.0,0,0.0,0.1,358.0,50.8,9.9,10.0
2,AA,PT,ORD,-20.0,2022-01-11 17:30:00,2022-01-11 20:18:00,34.9,0.0,0,0.0,19.4,200.0,52.9,9.9,10.0,6.1,0.0,0,0.0,10.0,111.0,27.2,9.9,10.0
2,UA,OO,ORD,57.0,2022-01-11 17:55:00,2022-01-11 20:52:00,34.9,0.0,0,0.0,19.4,200.0,52.9,9.9,10.0,9.9,0.0,0,0.0,11.2,110.0,49.1,9.9,10.0
2,B6,B6,JFK,54.0,2022-01-11 09:25:00,2022-01-11 10:43:00,15.9,0.0,0,0.0,15.7,313.0,27.1,9.9,10.0,2.7,0.0,0,0.0,0.0,0.0,30.3,9.9,10.0
2,B6,B6,JFK,23.0,2022-01-11 21:59:00,2022-01-11 23:14:00,18.5,0.0,0,0.0,0.0,0.0,7.2,9.9,10.0,11.7,0.0,0,0.0,6.0,82.0,47.3,9.9,10.0
2,B6,B6,MCO,-14.0,2022-01-11 16:17:00,2022-01-11 19:00:00,70.1,0.0,0,0.0,15.1,32.0,52.0,9.9,10.0,7.8,0.0,0,0.0,4.7,129.0,29.6,9.9,10.0
