DAY_OF_WEEK,MKT_UNIQUE_CARRIER,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,DUP,DISTANCE,WEATHER_DELAY,NAS_DELAY,LATE_AIRCRAFT_DELAY,DIV_AIRPORT_LANDINGS,CRS_ELAPSED_TIME,SCH_DEP_TIME,SCH_ARR_TIME,ORGIN_WTH_temp,ORGIN_WTH_feelslike,ORGIN_WTH_precip,ORGIN_WTH_precipprob,ORGIN_WTH_preciptype,ORGIN_WTH_snow,ORGIN_WTH_windgust,ORGIN_WTH_windspeed,ORGIN_WTH_winddir,ORGIN_WTH_cloudcover,ORGIN_WTH_visibility,ORGIN_WTH_severerisk,ORGIN_WTH_conditions,DEST_WTH_temp,DEST_WTH_feelslike,DEST_WTH_precip,DEST_WTH_precipprob,DEST_WTH_preciptype,DEST_WTH_snow,DEST_WTH_windgust,DEST_WTH_windspeed,DEST_WTH_winddir,DEST_WTH_cloudcover,DEST_WTH_visibility,DEST_WTH_severerisk,DEST_WTH_conditions
1,AA,MQ,4134,ORD,SYR,1257.0,-19.0,0,0,N,607,,,,0,,2022-01-03 10:25:00,2022-01-03 13:16:00,14.1,3.3,0.0,0,,0.0,,7.8,226.0,0.0,9.9,,Clear,17.8,8.5,0.0,0,,0.0,,6.9,309.0,84.3,9.9,,Partially cloudy
1,AA,MQ,4253,ORD,SYR,2024.0,12.0,0,0,N,607,,,,0,,2022-01-03 17:25:00,2022-01-03 20:12:00,20.1,9.3,0.0,0,,0.0,,9.6,205.0,24.2,9.9,,Partially cloudy,12.7,3.5,0.0,0,,0.0,,5.8,335.0,29.6,9.9,,Partially cloudy
1,AA,MQ,4316,ORD,SYR,1813.0,-2.0,0,0,N,607,,,,0,,2022-01-03 15:28:00,2022-01-03 18:15:00,22.7,10.9,0.0,0,,0.0,,12.5,218.0,24.2,9.9,,Partially cloudy,15.0,6.3,0.0,0,,0.0,,5.7,292.0,47.3,9.9,,Partially cloudy
1,UA,G7,4576,ORD,SYR,1722.0,-14.0,0,0,N,607,,,,0,,2022-01-03 14:45:00,2022-01-03 17:36:00,22.7,10.9,0.0,0,,0.0,,12.5,218.0,24.2,9.9,,Partially cloudy,15.0,6.3,0.0,0,,0.0,,5.7,292.0,47.3,9.9,,Partially cloudy
1,B6,B6,116,JFK,SYR,,,1,0,N,209,,,,0,,2022-01-03 08:29:00,2022-01-03 09:50:00,31.1,22.1,0.0,0,,0.0,20.2,11.2,10.0,46.6,9.9,,Partially cloudy,14.9,5.1,0.0,0,,0.0,,6.8,301.0,84.3,9.9,,Partially cloudy
1,B6,B6,2516,JFK,SYR,2338.0,39.0,0,0,N,209,0.0,0.0,0.0,0,,2022-01-03 21:45:00,2022-01-03 22:59:00,24.7,14.9,0.0,0,,0.0,18.3,9.6,345.0,7.2,9.9,,Clear,11.7,11.7,0.0,0,,0.0,,0.0,0.0,94.7,8.8,,Overcast
1,B6,B6,656,MCO,SYR,1546.0,-10.0,0,0,N,1053,,,,0,,2022-01-03 13:13:00,2022-01-03 15:56:00,65.8,65.8,0.0,0,,0.0,18.3,8.6,299.0,2.9,9.9,,Clear,19.0,6.1,0.0,0,,0.0,,12.7,310.0,27.2,9.9,,Partially cloudy
1,DL,9E,5531,JFK,SYR,1424.0,12.0,0,0,N,209,,,,0,,2022-01-03 12:55:00,2022-01-03 14:12:00,29.3,19.7,0.0,0,,0.0,19.7,11.2,20.0,100.0,9.9,,Overcast,19.1,11.9,0.0,0,,0.0,,5.0,320.0,47.3,9.9,,Partially cloudy
1,UA,OO,5392,ORD,SYR,1445.0,73.0,0,0,N,607,0.0,0.0,0.0,0,,2022-01-03 10:40:00,2022-01-03 13:32:00,17.8,7.0,0.0,0,,0.0,,8.7,225.0,0.0,9.9,,Clear,19.1,11.9,0.0,0,,0.0,,5.0,320.0,47.3,9.9,,Partially cloudy
1,UA,OO,5412,ORD,SYR,2047.0,-5.0,0,0,N,607,,,,0,,2022-01-03 17:55:00,2022-01-03 20:52:00,20.0,10.4,0.0,0,,0.0,,7.8,202.0,24.2,9.9,,Partially cloudy,11.8,11.8,0.0,0,,0.0,,0.0,0.0,29.6,9.9,,Partially cloudy
