name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Chicago,2022-01-01T00:00:00,40.9,33.4,36.5,84.14,0.0,0,,0.0,0.0,21.9,13.8,12.0,1006.7,100.0,5.4,0,0.0,0,,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2022-01-01T01:00:00,39.5,30.8,36.0,86.96,0.0,0,,0.0,0.0,26.2,16.3,15.0,1007.1,100.0,3.3,0,0.0,0,,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2022-01-01T02:00:00,38.3,31.4,34.7,86.89,0.0,0,,0.0,0.0,,10.4,5.0,1007.9,100.0,3.3,0,0.0,0,,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2022-01-01T03:00:00,38.5,30.8,34.4,85.1,0.0,0,,0.0,0.0,,12.4,11.0,1008.5,100.0,5.6,0,0.0,0,,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2022-01-01T04:00:00,38.3,29.9,33.5,82.72,0.0,0,,0.0,0.0,26.4,14.1,10.0,1008.4,100.0,8.4,0,0.0,0,,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2022-01-01T05:00:00,37.8,28.7,32.3,80.11,0.0,0,,0.0,0.0,26.8,16.2,16.0,1008.9,100.0,8.4,0,0.0,0,,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2022-01-01T06:00:00,37.9,28.7,32.2,79.43,0.0,0,,0.0,0.0,27.6,16.8,22.0,1009.5,100.0,8.9,0,0.0,0,,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
Chicago,2022-01-01T07:00:00,37.5,27.3,32.4,81.61,0.0,0,,0.0,0.0,29.7,19.6,30.0,1009.8,100.0,6.0,0,0.0,0,,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,KPWK,74466504838"
Chicago,2022-01-01T08:00:00,36.9,25.9,31.0,78.82,0.0,0,,0.0,0.0,31.2,22.1,22.0,1011.2,100.0,8.8,1,0.0,0,,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,F7086,74466504838,KPWK"
Chicago,2022-01-01T09:00:00,36.1,26.4,31.0,81.52,0.0,0,rain,0.02,0.02,29.5,16.1,23.0,1011.0,100.0,5.0,6,0.0,0,,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2022-01-01T10:00:00,36.0,25.6,29.9,78.39,0.0,0,rain,0.02,0.04,32.5,18.5,18.0,1011.7,100.0,9.9,10,0.0,0,,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2022-01-01T11:00:00,36.1,25.1,29.2,75.78,0.0,0,rain,0.02,0.06,32.9,21.0,20.0,1011.2,100.0,9.9,14,0.1,0,,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2022-01-01T12:00:00,36.1,25.2,28.5,73.6,0.0,0,rain,0.02,0.08,32.3,20.7,23.0,1010.6,100.0,9.9,20,0.1,0,,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2022-01-01T13:00:00,34.4,23.5,28.7,79.49,0.001,100,"rain,snow",0.02,0.1,31.1,18.8,39.0,1009.5,100.0,2.2,22,0.1,0,,"Snow, Rain, Overcast",snow,"72534014819,KORD,KMDW,72530094846,F1983,KPWK,74466504838"
Chicago,2022-01-01T14:00:00,32.8,21.2,28.7,84.88,0.006,100,"rain,snow",0.02,0.12,29.5,19.4,30.0,1009.4,100.0,0.6,19,0.1,0,,"Snow, Rain, Overcast",snow,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2022-01-01T15:00:00,32.1,20.7,28.4,85.73,0.018,100,"rain,snow",0.02,0.14,30.4,18.1,26.0,1009.6,100.0,0.5,10,0.0,0,,"Snow, Rain, Overcast",snow,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2022-01-01T16:00:00,31.5,20.0,27.6,85.37,0.002,100,"rain,snow",0.02,0.16,31.0,17.7,27.0,1009.5,100.0,0.7,16,0.1,0,,"Snow, Rain, Overcast",snow,"72534014819,AP878,KORD,KMDW,72530094846,KPWK,74466504838"
