name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
new york,2022-01-01T00:00:00,51.2,51.2,47.0,85.69,0.0,0,,0.0,0.0,8.1,5.6,160.0,1012.7,100.0,7.6,0,0.0,0,,Overcast,cloudy,"72505394728,KLGA,KNYC,72503014732"
new york,2022-01-01T01:00:00,51.2,51.2,47.0,85.69,0.0,0,,0.0,0.0,8.3,1.9,69.0,1012.5,100.0,7.2,0,0.0,0,,Overcast,cloudy,"72505394728,KLGA,KNYC,72503014732"
new york,2022-01-01T02:00:00,51.2,51.2,47.7,87.84,0.0,0,,0.0,0.0,8.3,0.0,0.0,1012.6,100.0,6.3,0,0.0,0,,Overcast,cloudy,"72505394728,KLGA,KNYC,72503014732"
new york,2022-01-01T03:00:00,51.2,51.2,47.0,85.69,0.0,0,,0.0,0.0,8.5,5.0,137.0,1012.2,100.0,8.2,0,0.0,0,,Overcast,cloudy,"72505394728,KLGA,KNYC,72503014732"
new york,2022-01-01T04:00:00,50.2,50.2,47.8,91.36,0.0,0,,0.0,0.0,9.2,5.3,152.0,1011.2,100.0,7.1,0,0.0,0,,Overcast,cloudy,"72505394728,KLGA,KNYC"
new york,2022-01-01T05:00:00,50.0,50.0,47.9,92.62,0.0,0,,0.0,0.0,10.3,1.6,65.0,1011.0,100.0,4.7,0,0.0,0,,Overcast,cloudy,"72505394728,KLGA,KNYC,72503014732"
new york,2022-01-01T06:00:00,51.2,51.2,48.6,90.85,0.0,0,,0.0,0.0,11.2,5.3,155.0,1010.0,100.0,2.9,0,0.0,0,,Overcast,cloudy,"72505394728,KLGA,KNYC,72503014732"
new york,2022-01-01T07:00:00,51.2,51.2,48.8,91.67,0.004,100,rain,0.0,0.0,11.2,1.6,69.0,1010.0,100.0,5.0,0,0.0,0,,"Rain, Overcast",rain,"72505394728,KLGA,KNYC,72503014732"
new york,2022-01-01T08:00:00,50.3,50.3,48.6,93.82,0.035,100,rain,0.0,0.0,9.2,5.8,140.0,1009.6,100.0,2.2,9,0.0,0,,"Rain, Overcast",rain,"72505394728,KLGA,F1417,KNYC,72503014732"
new york,2022-01-01T09:00:00,52.1,52.1,49.7,91.52,0.037,100,rain,0.0,0.0,9.8,6.2,168.0,1009.7,100.0,6.3,21,0.1,0,,"Rain, Overcast",rain,"72505394728,KLGA,F1417,KNYC,72503014732"
new york,2022-01-01T10:00:00,53.1,53.1,50.9,92.14,0.014,100,rain,0.0,0.0,9.4,5.8,220.0,1010.5,100.0,5.9,31,0.1,0,,"Rain, Overcast",rain,"72505394728,KLGA,F1417,KNYC,72503014732"
new york,2022-01-01T11:00:00,54.0,54.0,51.8,92.43,0.009,100,rain,0.0,0.0,8.9,5.4,210.0,1009.5,100.0,6.1,54,0.2,1,,"Rain, Overcast",rain,"72505394728,KLGA,F1417,KNYC,72503014732"
new york,2022-01-01T12:00:00,54.3,54.3,51.8,91.39,0.004,100,rain,0.0,0.0,10.7,6.6,245.0,1008.2,100.0,6.3,55,0.2,1,,"Rain, Overcast",rain,"72505394728,KLGA,F1417,KNYC,72503014732"
new york,2022-01-01T13:00:00,54.5,54.5,52.8,93.91,0.017,100,rain,0.0,0.0,12.8,5.0,220.0,1007.4,100.0,6.3,51,0.2,1,,"Rain, Overcast",rain,"72505394728,KLGA,F1417,KNYC,72503014732"
new york,2022-01-01T14:00:00,54.5,54.5,53.3,95.68,0.0,0,,0.0,0.0,7.6,0.0,0.0,1007.0,100.0,5.0,52,0.2,1,,Overcast,cloudy,"72505394728,KLGA,F1417,KNYC,72503014732"
new york,2022-01-01T15:00:00,55.6,55.6,52.8,90.27,0.0,0,,0.0,0.0,6.5,1.3,69.0,1006.2,98.9,7.7,52,0.2,1,,Overcast,cloudy,"72505394728,KLGA,F1417,KNYC,72503014732"
new york,2022-01-01T16:00:00,56.3,56.3,53.5,90.3,0.0,0,,0.0,0.0,5.8,1.9,299.0,1005.9,100.0,7.7,21,0.1,0,,Overcast,cloudy,"72505394728,KLGA,F1417,KNYC,72503014732"
new york,2022-01-01T17:00:00,56.0,56.0,52.8,88.91,0.0,0,,0.0,0.0,2.2,0.9,69.0,1006.0,100.0,8.6,2,0.0,0,,Overcast,cloudy,"72505394728,KLGA,F8726,KNYC,72503014732"
new york,2022-01-01T18:00:00,54.3,54.3,52.6,93.9,0.018,100,rain,0.0,0.0,5.4,1.3,34.0,1006.2,100.0,5.4,0,0.0,0,,"Rain, Overcast",rain,"72505394728,KLGA,KNYC,72503014732"
new york,2022-01-01T19:00:00,53.7,53.7,52.2,94.7,0.046,100,rain,0.0,0.0,6.3,2.5,19.0,1006.1,100.0,3.6,0,0.0,0,,"Rain, Overcast",rain,"72505394728,KLGA,KNYC,72503014732"
new york,2022-01-01T20:00:00,52.8,52.8,51.2,94.26,0.057,100,rain,0.0,0.0,7.4,5.0,89.0,1005.2,100.0,2.2,0,0.0,0,,"Rain, Overcast",rain,"72505394728,KLGA,KNYC,72503014732"
new york,2022-01-01T21:00:00,52.6,52.6,51.0,94.26,0.056,100,rain,0.0,0.0,9.8,4.6,53.0,1004.3,100.0,2.0,0,0.0,0,,"Rain, Overcast",rain,"72505394728,KLGA,KNYC,72503014732"
