name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
syracuse,2022-01-01T00:00:00,35.1,30.3,35.0,99.62,0.0,0,,0.0,0.0,,5.6,89.0,1009.6,26.2,5.0,0,0.0,0,,Partially cloudy,partly-cloudy-night,"KSYR,72519014771,72514654773,KFZY,72519664775,KRME"
syracuse,2022-01-01T01:00:00,35.1,28.7,35.0,99.64,0.0,0,,0.0,0.0,,7.9,90.0,1008.4,48.8,3.8,0,0.0,0,,Partially cloudy,partly-cloudy-night,"KSYR,72519014771,72514654773,KFZY,72519664775,KRME"
syracuse,2022-01-01T02:00:00,37.1,31.8,37.0,99.62,0.0,0,,0.0,0.0,,6.9,71.0,1008.2,88.2,5.1,0,0.0,0,,Partially cloudy,partly-cloudy-night,"KSYR,72519014771,72514654773,KFZY,72519664775,KRME"
syracuse,2022-01-01T03:00:00,38.1,32.9,38.0,99.67,0.0,0,,0.0,0.0,,6.9,81.0,1007.9,99.4,6.2,0,0.0,0,,Overcast,cloudy,"KSYR,72519014771,72514654773,KFZY,72519664775,KRME"
syracuse,2022-01-01T04:00:00,39.9,36.6,39.8,99.62,0.011,100,rain,0.0,0.0,,4.7,83.0,1006.8,99.8,5.0,0,0.0,0,,"Rain, Overcast",rain,"KSYR,72519014771,72514654773,KFZY,72519664775,KRME"
syracuse,2022-01-01T05:00:00,41.1,35.5,41.0,99.58,0.011,100,rain,0.0,0.0,,8.8,89.0,1006.0,100.0,6.3,0,0.0,0,,"Rain, Overcast",rain,"KSYR,72519014771,72514654773,KFZY,72519664775,KRME"
syracuse,2022-01-01T06:00:00,42.2,36.8,42.1,99.69,0.011,100,rain,0.0,0.0,,9.0,71.0,1006.2,100.0,6.2,0,0.0,0,,"Rain, Overcast",rain,"KSYR,72519014771,72514654773,KFZY,72519664775,KRME"
syracuse,2022-01-01T07:00:00,43.1,39.0,43.0,99.65,0.0,0,,0.0,0.0,,6.8,51.0,1005.5,100.0,5.1,0,0.0,0,,Overcast,cloudy,"KSYR,72519014771,72514654773,KFZY,72519664775,KRME"
syracuse,2022-01-01T08:00:00,43.1,41.4,43.0,99.65,0.0,0,,0.0,0.0,,3.4,71.0,1005.5,100.0,6.2,1,0.0,0,,Overcast,cloudy,"KSYR,72519014771,72514654773,KFZY,72519664775,F3743,KRME"
syracuse,2022-01-01T09:00:00,44.0,42.5,43.0,96.1,0.0,0,,0.0,0.0,,3.5,64.0,1005.6,100.0,5.0,14,0.1,0,,Overcast,cloudy,"KSYR,72519014771,72514654773,AS511,KFZY,72519664775,KRME"
syracuse,2022-01-01T10:00:00,45.0,45.0,44.0,96.19,0.0,0,,0.0,0.0,,0.0,4.0,1006.9,100.0,5.0,44,0.2,0,,Overcast,cloudy,"KSYR,72519014771,72514654773,AS511,KFZY,72519664775,KRME"
syracuse,2022-01-01T11:00:00,46.1,46.1,44.9,95.53,0.0,0,,0.0,0.0,,0.1,4.0,1006.4,100.0,6.3,92,0.3,1,,Overcast,cloudy,"KSYR,72519014771,72514654773,AS511,KFZY,72519664775,KRME"
syracuse,2022-01-01T12:00:00,47.0,47.0,46.0,96.3,0.0,0,,0.0,0.0,,0.1,3.0,1005.5,100.0,8.1,103,0.4,1,,Overcast,cloudy,"KSYR,72519014771,72514654773,AS511,KFZY,72519664775,KRME"
syracuse,2022-01-01T13:00:00,48.0,46.8,46.9,96.19,0.0,0,,0.0,0.0,,3.6,8.0,1005.4,100.0,9.8,72,0.3,1,,Overcast,cloudy,"KSYR,72519014771,72514654773,AS511,KFZY,72519664775,KRME"
syracuse,2022-01-01T14:00:00,47.9,47.9,46.0,93.15,0.0,0,,0.0,0.0,,0.4,358.0,1004.7,100.0,9.7,51,0.2,1,,Overcast,cloudy,"KSYR,72519014771,72514654773,AS511,KFZY,72519664775,KRME"
syracuse,2022-01-01T15:00:00,48.6,45.1,46.8,93.45,0.0,0,,0.0,0.0,,8.1,310.0,1005.8,100.0,9.6,21,0.1,0,,Overcast,cloudy,"KSYR,72519014771,72514654773,AS511,KFZY,72519664775"
syracuse,2022-01-01T16:00:00,47.7,44.0,45.9,93.4,0.0,0,,0.0,0.0,,7.9,311.0,1005.6,100.0,7.8,17,0.1,0,,Overcast,cloudy,"KSYR,72519014771,72514654773,AS511,KFZY,72519664775,KRME"
syracuse,2022-01-01T17:00:00,45.9,43.0,43.9,92.59,0.0,0,,0.0,0.0,,5.8,312.0,1006.0,100.0,6.0,1,0.0,0,,Overcast,cloudy,"KSYR,E5907,72519014771,72514654773,KFZY,72519664775,KRME"
syracuse,2022-01-01T18:00:00,43.9,40.0,43.0,96.37,0.0,0,,0.0,0.0,,6.7,302.0,1006.2,100.0,6.0,0,0.0,0,,Overcast,cloudy,"KSYR,72519014771,72514654773,KFZY,72519664775,KRME"
syracuse,2022-01-01T19:00:00,43.9,40.4,42.9,96.21,0.019,100,rain,0.0,0.0,,6.0,284.0,1005.9,100.0,3.1,0,0.0,0,,"Rain, Overcast",rain,"KSYR,72519014771,72514654773,KFZY,KRME"
syracuse,2022-01-01T20:00:00,42.9,39.2,42.8,99.82,0.019,100,rain,0.0,0.0,,5.9,255.0,1005.8,100.0,3.7,0,0.0,0,,"Rain, Overcast",rain,"KSYR,72519014771,72514654773,KFZY,72519664775,KRME"
